City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,richards bay,-28.783,32.0377,24.23,80,19,4.34,ZA,1706556726
323,plettenberg bay,-34.0527,23.3716,19.22,86,47,1.45,ZA,1706556726
324,cill airne,52.05,-9.5167,2.51,87,9,1.8,IE,1706556605
325,bapatla,15.9,80.4667,20.55,77,68,2.72,IN,1706556726
326,goondiwindi,-28.55,150.3167,23.95,92,100,3.71,AU,1706556726
327,zainsk,55.3195,52.0694,-3.45,95,100,4.96,RU,1706556726
328,tsumeb,-19.2333,17.7167,22.89,61,75,11.09,NA,1706556727
329,queenstown,-31.8976,26.8753,24.01,46,94,2.36,ZA,1706556727
330,canmore,51.0834,-115.3521,12.06,97,100,4.12,CA,1706556727
331,quatre cocos,-20.2078,57.7625,26.16,87,4,2.38,MU,1706556727
332,vallenar,-28.5708,-70.7581,25.33,38,0,4.51,CL,1706556727
333,kavaratti,10.5669,72.642,27.74,64,52,2.72,IN,1706556727
334,myeik,12.4333,98.6,24.37,82,46,1.37,MM,1706556727
335,mejit,10.2753,170.8646,25.89,76,100,6.73,MH,1706556728
336,taroa,8.7058,171.2275,26.48,85,97,8.28,MH,1706556728
337,tuban,-6.8976,112.0649,25.44,90,100,2.38,ID,1706556728
338,marquette,46.5333,-87.6335,4.39,68,100,3.58,US,1706556544
339,ambodifotatra,-16.9833,49.85,26.57,81,77,8.85,MG,1706556728
340,rancho santa margarita,33.6409,-117.6031,25.27,33,17,1.79,US,1706556513
341,micheweni,-4.9667,39.8333,27.56,78,100,4.57,TZ,1706556728
342,cambridge,43.3601,-80.3127,3.86,79,100,3.09,CA,1706556442
343,howard springs,-12.497,131.047,26.95,96,100,4.28,AU,1706556728
344,megion,61.0296,76.1136,-18.99,100,96,3.21,RU,1706556729
345,geraldton,-28.7667,114.6,19.23,82,0,4.63,AU,1706556729
346,kone,-21.0595,164.8658,25.27,78,87,0.35,NC,1706556729
347,kongolo,-5.3833,27.0,20.35,97,100,0.62,CD,1706556729
